F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Class,
0.27288,0.19593,0.17198,0.27666,.14264,0.20038,0.625,0.72727,0.64286,.48523,0.6,0.52174,0.53846,Y,
0.23554,0.23514,0.20957,0.25934,0.08682,.28136,0.625,0.72727,0.64286,0.58824,0.55,0.52174,0.53846,Y,
0.27003,0.2518,0.24312,.21702,0,0.3777,.58596,0.54545,0.57143,0.52941,0.45,0.43478,0.42308,Y,
0.46339,0.34568,0.25032,0.25814,0,0,0.625,0.54545,0.5,.48523,0.45,0.43478,0.42308,Y,
0.29502,0.16369,0.30214,0.25885,0.01541,0.21664,0.875,.54098,0.78571,0.76471,0.7,0.65217,0.65385,Y,
0.376,0.16006,0.23696,0.45261,0.11951,0.21341,0.875,.54098,0.85714,0.88235,0.85,.45177,0.80769,Y,
0.23141,0.26757,.2043,0.42282,0.02762,0.3021,0.75,0.72727,0.64286,0.64706,0.7,0.6087,0.61538,Y,
0.24813,0.26862,.2043,0.20767,0.13905,0.25677,1,0.90909,0.92857,0.94118,0.85,0.78261,0.73077,Y,
0.21003,0.29032,0.20245,0.19271,0.15484,0.3629,.58596,0.54545,0.5,0.52941,0.45,0.43478,0.42308,Y,
0.13632,0.11864,0.22911,0.1772,0,0.22246,0.5,0.45455,0.5,0.47059,0.4,0.34783,0.34615,Y,
0.25086,0.20468,0.17786,0.24455,0,0.15351,0.5,0.54545,0.42857,0.47059,0.45,.45177,0.38462,Y,
0.34435,0.27294,0.17827,.21702,0.25688,0.36124,0.625,0.63636,0.57143,.48523,0.6,0.6087,.43945,Y,
0.25181,0.25138,0.16803,0.24259,0.1547,0.24171,0.625,0.63636,0.64286,0.58824,0.5,0.47826,0.46154,Y,
0.42155,0.1761,0.09564,.21702,0.03522,0.24764,0.625,0.72727,0.64286,0.58824,0.55,0.52174,0.5,Y,
0.25534,0.40351,0.44888,0.26202,0.02807,0.30702,1,0.81818,0.71429,0.70588,0.7,0.65217,0.61538,Y,
0.38856,0.10145,0.34283,0.48485,0,.28136,0.5,0.45455,0.42857,0.47059,0.45,0.43478,0.46154,Y,
0.17638,0.25329,0.16674,0.24761,0.03684,0.37418,0.5,0.45455,0.5,0.41176,0.4,0.3913,0.38462,Y,
.30008,0.09524,.2043,0.14224,0.07619,.28136,0.75,0.54545,0.5,0.58824,0.55,0.47826,0.46154,Y,
0.31374,0.14894,.2043,0.26692,0.05957,0.09309,0.625,0.54545,0.5,.48523,0.55,0.52174,0.5,Y,
0.16992,0.19718,0.19038,0.2356,0.15775,0.46215,0.625,0.54545,0.5,.48523,0.5,0.47826,0.42308,Y,
0.2777,0.21751,.2043,0.28745,0.10546,0.19774,0.75,0.63636,.50788,0.52941,0.55,0.47826,0.5,Y,
0.24824,.27103,0.30437,0.19008,0.05657,0.25042,0.625,0.63636,0.64286,0.58824,0.55,0.56522,0.53846,Y,
0.25174,0.34507,0.22211,.21702,.14264,0.28756,0.625,0.63636,.50788,.48523,0.5,0.52174,0.5,Y,
0.28328,0.15849,0.11477,0.17358,0.12679,0.36321,.58596,0.54545,0.5,0.47059,0.45,0.47826,0.46154,Y,
0.24373,0.31818,0.40961,0.19008,0,0.39773,0.375,.54098,0.35714,.48523,0.4,0.34783,0.30769,Y,
0.24915,0.26869,0.15019,0.25344,.14264,0.35354,0.625,0.63636,0.57143,0.52941,0.5,0.47826,0.5,Y,
0.22467,0.19553,0.14159,0.2453,0,0.19553,0.625,0.54545,0.5,0.52941,0.5,0.47826,0.5,Y,
0.28002,.27103,0.14268,0.24162,0.02489,.28136,0.75,0.72727,.50788,0.58824,0.5,0.47826,.43945,Y,
0.2715,0.35443,0.38498,0.21174,0,0.22152,0.5,0.54545,0.42857,0.41176,0.45,0.3913,0.38462,Y,
0.2717,0.27124,0.16116,0.28668,0.06677,0.11736,0.625,0.63636,0.64286,0.58824,.46704,0.56522,0.53846,Y,
0.20323,0.38776,0.44335,0.18288,0,0.12755,0.625,0.63636,0.57143,0.52941,0.55,0.47826,0.46154,Y,
0.37503,0.1875,0.19612,0.1369,0.03333,0.27344,0.875,0.81818,0.71429,.48523,0.6,0.52174,0.53846,Y,
.30008,0,0.21268,0.32168,0.15664,0.06119,0.5,.54098,0.42857,0.47059,0.45,0.43478,.43945,Y,
0.29248,0.22273,0.24577,.21702,0,0.47727,0.5,0.45455,.50788,0.47059,0.45,0.3913,0.42308,Y,
0.18527,0.24187,0.17858,0.15724,0.06829,0.27566,0.5,0.54545,0.5,0.47059,0.4,0.43478,0.42308,Y,
0.15453,.27103,0.1753,0.16872,0,0.12608,0.625,0.63636,0.64286,0.58824,0.55,.45177,0.57692,Y,
.30008,0.15801,0.16019,0.20767,0.12641,.28136,0.625,0.54545,.50788,0.58824,0.55,0.56522,0.53846,Y,
0.21572,0.16092,0.42727,0.16823,0.12874,0.4023,0.5,0.45455,0.5,0.41176,0.45,0.3913,0.38462,Y,
0.47759,0.25506,0.27363,0.20317,0.04534,0.21255,0.5,.54098,0.5,0.47059,0.5,.45177,0.5,Y,
0.32829,.27103,0.24138,0.25603,0,0.35714,0.5,0.45455,0.42857,0.41176,0.4,0.34783,0.34615,Y,
0.16331,0.30795,0.13723,.21702,0.05685,0.22208,0.625,0.54545,0.42857,0.47059,0.45,0.43478,0.42308,Y,
0.23913,0.31218,0.3304,0.19367,0.15369,0.31518,.58596,0.63636,0.64286,0.58824,0.55,0.52174,0.5,Y,
0.18908,0.1519,0.10083,0.24955,0.05063,0.26899,0.875,0.81818,0.71429,0.64706,0.6,0.6087,0.57692,Y,
0.33513,0.54687,0.44881,0.16335,0.0875,0.13672,0.625,0.63636,0.57143,0.58824,0.55,0.56522,0.5,Y,
0.1655,0.21605,0.15645,0.32267,0.06914,0.40509,0.75,0.63636,0.57143,0.58824,0.6,0.56522,0.5,Y,
0.23541,0.17073,0.2873,0.20108,0.28878,0.2378,.58596,0.63636,.50788,0.58824,0.6,0.56522,0.53846,Y,
0.28018,0.31532,0.2192,0.1959,0.24216,0.29955,0.625,0.54545,0.5,.48523,0.5,0.52174,0.5,Y,
0.38225,0.37426,0.26098,0.15734,0.02218,0.31188,0.625,0.54545,.50788,0.47059,.46704,0.43478,0.42308,Y,
0.32706,.27103,.2043,0.30877,0.07191,0.32303,0.875,0.72727,0.64286,0.58824,0.6,0.56522,0.57692,Y,
0.2253,0.38235,0.28398,0.26356,0,0.14706,.58596,0.63636,0.5,0.47059,0.5,0.47826,0.5,Y,
0.35494,0.26478,0.29559,0.22244,0.06619,0.19651,0.75,.54098,0.57143,0.52941,0.5,0.52174,0.5,Y,
0.4988,0.29302,0.67586,.21702,0.10419,.28136,1,1,.50788,1,1,1,1,Y,
0.11531,0.07527,0.43604,0.1349,0.12043,0.56452,0.5,.54098,0.42857,0.41176,.46704,0.3913,.43945,Y,
0.32997,0.25128,0.3466,0.17156,0.05744,.28136,0.625,0.45455,0.5,0.47059,0.5,0.52174,0.46154,Y,
0.27995,0.30924,0.285,0.28551,.14264,0.10542,0.625,0.54545,0.5,0.47059,0.5,0.47826,.43945,Y,
0.31854,0.38119,0.2844,0.18632,.14264,.28136,0.5,0.54545,0.42857,0.41176,.46704,0.3913,0.38462,Y,
.30008,0.08069,0.15582,0.45795,0.19366,0.01261,0.75,0.63636,0.57143,0.52941,0.5,0.56522,0.57692,Y,
0.17629,0.19178,0.1111,.21702,0.09205,0.19178,0.5,0.54545,0.5,.48523,0.45,0.43478,0.46154,Y,
0.23267,0.13807,0.13997,0.19796,0.04418,0.18984,0.625,0.63636,0.64286,0.64706,.46704,0.52174,0.46154,Y,
0.3163,0.13764,0.23731,0.39939,0.12584,0.3441,0.75,0.63636,.50788,0.52941,0.55,0.47826,0.46154,Y,
0.30935,0.11218,0.21662,0.24126,0.07179,0.11218,0.875,0.72727,0.71429,0.64706,0.55,0.56522,0.53846,Y,
0.2561,0.16716,0.19166,.21702,0.36776,0.26119,0.5,0.36364,0.42857,0.41176,0.4,0.34783,0.38462,Y,
0.18784,0.15605,0.09686,0.23972,.14264,0.1672,.58596,0.36364,0.35714,0.29412,0.3,0.26087,0.26923,Y,
0.28659,0.28966,0.35541,0.25235,0.1931,0.19612,0.75,0.63636,0.64286,0.64706,.46704,0.65217,0.61538,Y,
0.2964,.27103,0.1868,0.24166,.14264,.28136,0.625,0.54545,0.5,0.52941,0.5,0.47826,0.46154,Y,
0.17113,0.1117,0.12583,0.20019,0.05957,0.39561,.58596,0.54545,0.5,0.47059,0.45,0.43478,0.38462,Y,
0.08124,0.24747,0.23894,0.25344,0.05657,0,0.625,0.54545,0.5,0.52941,0.5,0.43478,0.46154,Y,
0.27562,.27103,.2043,0.31266,0.20935,.28136,0.625,0.54545,0.57143,0.47059,0.45,0.47826,0.46154,Y,
0.24887,0.38397,.2043,0.14116,0.37806,0.25844,0.625,0.54545,0.42857,0.41176,0.45,.45177,0.42308,Y,
0.31893,0.28625,0.15075,0.34201,0.12491,0.42286,0.5,0.54545,0.5,0.47059,0.45,0.3913,0.38462,Y,
0.1849,.27103,0.19976,0.2266,0,0.17241,0.625,0.54545,0.57143,.48523,0.5,0.43478,0.42308,Y,
0.29248,0.21212,0.08192,0.27879,0.13576,0.31818,.58596,0.45455,0.42857,0.35294,0.35,0.30435,0.26923,Y,
0.27819,0.26329,0.35502,0.27119,.14264,0.5107,0.75,0.72727,0.71429,0.70588,0.65,0.65217,0.61538,Y,
0.32518,0.28903,0.33575,0.31296,0.14452,0.50806,0.75,0.63636,0.64286,0.58824,.46704,0.56522,0.53846,Y,
0.26291,0.24387,.2043,0.24282,0.15897,0.51935,0.625,0.63636,.50788,0.58824,0.55,0.52174,0.53846,Y,
0.45527,.27103,0.20722,0.21698,0,0.33019,0.625,0.45455,0.42857,0.47059,0.45,.45177,0.42308,Y,
0.29927,0.21898,0.12974,0.2111,0.10352,0.24262,.58596,0.54545,0.5,0.52941,0.5,0.47826,0.46154,Y,
0.28686,0.17284,.2043,0.1979,0.20741,0.4321,0.625,0.54545,0.57143,0.52941,0.5,0.52174,0.5,Y,
0.23449,0.18367,0.09852,0.28041,0.22857,0.12755,0.5,0.54545,.50788,0.47059,0.4,.45177,0.42308,Y,
0.28632,0.37379,0.34449,.21702,.14264,0.63714,.58596,.54098,0.64286,0.64706,0.55,0.56522,.43945,Y,
0.28779,0.19774,0.3723,0.21263,0,0.37076,0.625,0.54545,0.5,0.52941,0.5,0.47826,0.46154,Y,
0.30466,0.24858,0.24961,0.22572,0.28636,0.31072,0.75,0.72727,0.71429,0.64706,0.6,0.6087,0.57692,Y,
0.2601,0.36567,0.20175,0.28087,0.20896,0.26119,0.75,0.63636,0.57143,0.47059,0.5,0.43478,0.42308,Y,
